មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
លុបមុខ,"[lup muk] [[លុប]] [[មុខ]] <br>1). to wash the face "
ញ៉ុម,"[ɲom] <br>1). pron I / me / my See: ខ្ញុំ "
ក្បឿងក្បាច់,"[kbɨəŋ kbac] [[ក្បឿង]] [[ក្បាច់]] <br>1). large thick roofing tile with a corrugated surface "
លក្ខណ៍ខ្លួន,"[------ kluən] [[លក្ខណ៍]] [[ខ្លួន]] <br>1). physical charms
ផលាសី,"[pʰaʔlaasəy] <br>1). adj to be frugivorous "
បុកដី,"[bok dəy] [[បុក]] [[ដី]] <br>1). to pack the earth (by ramming
ក្ររហៀរ,"[krɑɑ rɔhie] [[ក្រ]] [[រហៀរ]] <br>1). to be very poor "
ខ្លារខិន,"[klaa rɔkʰən] [[ខ្លា]] [[រខិន]] <br>1). leopard
ឧត្តរិភង្គ,"[ʔuttaʔreʔ ------ ] [[ឧត្តរិ]] [[ភង្គ]] <br>1). additional / after-meal foods
សង្សារទុក្ខ,"[sɑŋsaa tuk] [[សង្សារ]] [[ទុក្ខ]] <br>1). suffering experienced during the transmigratory life cycle "
ក្រុមបសុពេទ្យ,"[krom~krommaʔ- paʔsoʔ pɛɛt] [[ក្រុម]] [[បសុ]] [[ពេទ្យ]] <br>1). veterinary service "
មមីស,"[mɔmiih] <br>1). n body hair (esp. pubic and under-arm hair) (cf. សក់​ `head hair' and រោម​ `hair of the arms
សិថិលភាព,"[seʔtʰǝl pʰiep] [[សិថិល]] [[ភាព]] <br>1). compromise
ឧបដ្ឋាន,"[ʔuʔpattʰaan] <br>1a). n service
អង្គុយព្រលឹងអណ្ដែតអណ្ដូង,"[ʔɑŋkuy prɔlɨŋ ʔɑndaet ʔɑndooŋ] [[អង្គុយ]] [[ព្រលឹង]] [[អណ្ដែតអណ្ដូង]] <br>1). to sit and day-dream
អង្គុលៈ,"[ʔɑŋkuʔleaʔ] <br>1). n finger(s);<br> a finger's breadth <br>2). n an ancient measure equal to eight barleycorns "
ការបរទេស,"[kaa bɑɑrəteeh~paʔreaʔteeh] [[ការ]] [[បរទេស]] <br>1). foreign affairs "
ក្អកគ្រហែម,"[kʔɑɑk krɔhɛɛm] [[ក្អក]] [[គ្រហែម]] <br>1). to cough / clear the throat as a signal "
ច្រងូវ,"[crɑŋəv] <br>1a). adv without moving
សង្វៀន,"[sɑŋvien] <br>1a). n arena / pit for cock fights. <br>1b). arena (e.g. political arean) "
ជាមនុស្សបានតែថា,"[cie mɔnuh~meaʔnuh~mɔnɨh ------] [[ជា]] [[មនុស្ស]] [[បានតែថា]] <br>1). to be a windbag "
ចងពៀរ,"[cɑɑŋ piə] [[ចង]] [[ពៀរ]] <br>1). to be vindictive<br>#..). to be vindictive
ពិធីត្រួតពល,"[piʔtʰii truət pʊəl] [[ពិធី]] [[ត្រួតពល]] <br>1). review (of an honor guard or troops) "
កង្គួន,"[kɑŋkuən] <br>1). adj to be enraged
ពិសិដ្ឋប្រមាថ,"[piʔsət prɑmaat] [[ពិសិដ្ឋ]] [[ប្រមាថ]] <br>1). blasphemy "
…មួយចំណែក ... មួយចំណែក,"<br>1). on the one hand ... on the other hand ... "
ខ្ទីងជ័រ,"[ktiiŋ coa] [[ខ្ទីង]] [[ជ័រ]] <br>1). medium-sized variety of wild buffalo "
មួយម៉ាត់,"[muə yɔɔ mat] [[មួយ]] [[ម៉ាត់]] <br>1). a mouthful;<br> a word ចាំមួយភ្លែត​ ខ្ញុំញ៉ាំបាយមួយម៉ាត់ពីរសិន Wait a minute;<br> let me eat a bite or two first. ខ្ញុំមិនទាន់បាន​និយាយមួយម៉ាត់ផង ស្រាប់តែគាត់ដើរ​ចេញឆ្កុយ I hadn't even gotten to say a single word when he abruptly walked out. "
អនារ្យជន,"[------ cɔɔn] [[អនារ្យ]] [[ជន]] <br>1). savage "
សង្វេគសមុដ្ឋាន,"[sɑŋveek~saŋveek saʔmuttʰaan] [[សង្វេគ]] [[សមុដ្ឋាន]] <br>1). cause of concern or restlessness See: សំវេគសមុដ្ឋាន "
ង៉ាងៗ,"[ŋaaŋ - ŋaaŋ] <br>1). i sound of small gongs See: ម៉ាងៗ "
រតិក្រិយា,"[reaʔteʔ ------ ] [[រតិ]] [[ក្រិយា]] <br>1). sexual intercourse "
ឯកកោសិន,"[ʔaek ------ sən] [[ឯក]] [[កោ]] [[សិន]] <br>1). unicellular "
ឧច្ឆេទវាទ,"[ʔuccʰeet viet] [[ឧច្ឆេទ]] [[វាទ]] <br>1). decisive words / speech / statement "
ល្ហក,"<br>1). See: រហក "
ពាក្យសំរាយ,"[piek ------] [[ពាក្យ]] [[សំរាយ]] <br>1). vernacular words "
ថែទក់ទាំ,"[tʰae tʊək toam] [[ថែ]] [[ទក់ទាំ]] <br>1). See: ថែទាំ "
ភ្នាក់ងារប៉ូលិស,"[------ poolih] [[ភ្នាក់ងារ]] [[ប៉ូលិស]] <br>1). police officer "
មហាជន,"[meaʔhaa~mɔhaa cɔɔn] [[មហា]] [[ជន]] <br>1). the public
ជនរួមជាតិ,"[cɔɔn ruəm ciet] [[ជន]] [[រួម]] [[ជាតិ]] <br>1). fellow countryman
ពាក្យសំរាល,"[piek ------] [[ពាក្យ]] [[សំរាល]] <br>1). euphemism "
ក្បុង,"[kboŋ] <br>1). n potash
សិខរិន,"[seʔkaʔrɨn] <br>1). n mountain
ចងទុក,"[cɑɑŋ ------] [[ចង]] [[ទុក]] <br>1). to tie up;<br> to set
ម្ង៉ៃកាត់ម្ង៉ៃកោរ,"[mŋay kat mŋay kao] [[ម្ង៉ៃ]] [[កាត់]] [[ម្ង៉ៃ]] [[កោរ]] <br>1). sometimes good
ត្រីធា,"[trəy ------ ] [[ត្រី]] [[ធា]] <br>1). trinomial "
សន្សំសាងសីលា,"[sɑnsɑm saaŋ səy lie] [[សន្សំ]] [[សាង]] [[សី]] [[លា]] <br>1). to accumulate merit (by following the Buddhist precepts) "
ក្រឡាញ់,"[krɑlaɲ] <br>1). n kind of large tree with edible sour fruit and hard
ចំទង់,"[cɑmtʊəŋ] <br>1). adj to have reached the age of puberty
ទឹកក្បុង,"[tɨk kboŋ] [[ទឹក]] [[ក្បុង]] <br>1). liquid obtained by leaching wood ashes (it is used for washing the hair and for soaking beans) "
ទ្រមឹង,"[trɔmɨŋ] <br>1). adv calmly and motionlessly;<br> without agitation and without motion "
អង្គភាពយោធា,"[ʔɑŋ pʰiep yootʰie] [[អង្គភាព]] [[យោធា]] <br>1). infantry brigade / unit
ស្មូរជន,"[smoo cɔɔn] [[ស្មូរ]] [[ជន]] <br>1). skinflint
ស្រឡៀង,"[srɑlieŋ] <br>1). adj to be cross-eyed
នាងវង,"[nieŋ vɔɔŋ] [[នាង]] [[វង]] <br>1). See: ជីរនាងវង "
ប៉ាកកៃ,"[paak kay] <br>1). n small writing brush "
កូនសោ,"[koon sao] [[កូន]] [[សោ]] <br>1). key <br>#..). key (to a lock) "
ចែវរា,"[caev rie] [[ចែវ]] [[រា]] <br>1). to stop a boat
កញ្ជ្រក់,"[kɑɲcrʊək] <br>1a). n dishonorable person. <br>1b). adj to be without class
មានភ័ព្វ(ព្រេងសំណាង),"<br>1). to be lucky "
ក្រុមបញ្ជូនសារ,"[krom~krommaʔ- bɑɲcuun saa~saaraʔ] [[ក្រុម]] [[បញ្ជូន]] [[សារ]] <br>1). communication service
ចោត,"[caot] <br>1). adj to be steep
បែកសា,"[baek saa] [[បែក]] [[សា]] <br>1). to cut the bladder (of an animal during butchering thus rendering the meat unfit to eat) <br>2). to expose / reveal (e.g. a secret) "
ព្រះរៀម,"[preah riəm] [[ព្រះ]] [[រៀម]] <br>1). elder brother "
ចោទ,"[caot] <br>1). v to accuse
រថវាហៈ,"[rʊət vie haʔ] [[រថ]] [[វា]] [[ហៈ]] <br>1). chariot horses;<br> charioteer
អនុតាប,"[ʔaʔnuʔtaap
មូលសេចក្តី,"[muul sackdǝy] [[មូល]] [[សេចក្តី]] <br>1). to edit an anthology "
គ្រំប៉ោក,"[krum paok] [[គ្រំ]] [[ប៉ោក]] <br>1). kind of large whelk or mussel "
ចំអកចំអន់,"[cɑmʔɑɑk cɑmʔɑn] [[ចំអក]] [[ចំអន់]] <br>1). to tease "
មូរ៉ា,"<br>1). See: មោរ៉ា "
ល្ហប,"<br>1). See: រហប "
ក្រពើសៀម,"[krɑpəə siǝm] [[ក្រពើ]] [[សៀម]] <br>1). kind of crocodile (Crocodylus siamensis) "
លើកគ្នា,"[lǝǝ kɑɑ knie] [[លើក]] [[គ្នា]] <br>1). to gather people to do something
ឆ្វាក,"[cvaak] <br>1). i sound of drawing a sword from its sheath;<br> ripping sound of tearing a piece of cloth See: ខ្វាក "
ចង្កៀលខ្យង,"[cɑŋkiəl kyɑɑŋ~kcɑɑŋ] [[ចង្កៀល]] [[ខ្យង]] <br>1). kind of heron or ibis
ចោម,"[caom] <br>1). v to cluster around
ចោរ,"[cao] <br>1). n thief
ពាក្យមួលបង្កាច់(ចំពោះមកលើ),"<br>1). slander / accusation (against someone) "
ចោល,"[caol] <br>1a). v to throw
សហសេវិក,"[saʔhaʔseevɨk] <br>1). n (male) colleague
ឆ្វាង,"[cvaaŋ] <br>1). n a subdivision of the zodiac
លាន់មាត់,"[loan moat] [[លាន់]] [[មាត់]] <br>1). to exclaim (involuntarily)
ពេលខ្លះ,"[peel klah] [[ពេល]] [[ខ្លះ]] <br>1). sometimes "
ឆ្វាច,"[cvaac] <br>1). i sound of fireworks
កាលណា,"[kaal naa] [[ម្ដង]] [[::]] [[កាល]] [[ណា]] [[ម្ដង]] <br>1). when
គ្រឿងផ្ទះ,"[krɨəŋ pteah] [[គ្រឿង]] [[ផ្ទះ]] <br>1). house-building materials "
ឱសថដ្ឋាន,"[ʔaosot~ʔaosɑt~ʔaosaʔtʰaʔ ------ ] [[ឱសថ]] [[ដ្ឋាន]] <br>1). pharmacy
ស្មារលាទោស,"[smaa lie tooh] [[ស្មារលា]] [[ទោស]] <br>1). to resolve never to commit a crime again;<br> to atone for (a wrong) "
ភោគ,"[pʰouk] <br>1). n goods
ស៊ុតទ្រុឌ,"[sut - trut] <br>1). adj to be weak;<br> vulgar
ប្រណិប្រណាក់,"[prɑneʔprɑnak] <br>1). v to care for
តាមមើលទៅ,"[taam məəl tɨv~toh] [[តាមមើល]] [[ទៅ]] <br>1). apparently "
ស្រយើល,"<br>1). See: ស្រយឺល "
ឧស្សាហ៍ឈឺ,"[--i4-- ] [[ឧស្សាហ៍ឈឺ]] <br>1). to be sick frequently "
ស្រុះគ្នា,"[sroh knie] [[ស្រុះ]] [[គ្នា]] <br>1). altogether
ក្បុស,"[kboh] <br>1). adj to be pure / absolutely / spotlessly white "
ឃ្មុំត្រចៀកដំរី,"[kmum trɑciək dɑmrəy] [[ឃ្មុំ]] [[ត្រចៀកដំរី]] <br>1). kind of large bee "
លើសូន្យ,"[lǝǝ soon] [[លើ]] [[សូន្យ]] <br>1). to be above zero "
ភ្លៅនាង,"[plɨv nieŋ] [[ភ្លៅ]] [[នាង]] <br>1). kind of plant "
សណ្ហវាទី,"[sɑnhaʔ vietii] [[សណ្ហ]] [[វាទី]] <br>1). person who speaks politely / softly See: សណ្ហវាទិនី "
រៀងមក,"[riəŋ mɔɔk] [[រៀង]] [[មក]] <br>1). continuously
ចេញដីកា,"[cəɲ dəykaa] [[ចេញ]] [[ដីកា]] <br>1). to issue a warrant or summons "
ដីសណ្ដ,"[dəy sɑndɑɑ] [[ដី]] [[សណ្ដ]] <br>1). delta See: ដែនដីសណ្ដ "
បែកប្រាជ្ញា,"[baek praacɲaa] [[បែក]] [[ប្រាជ្ញា]] <br>1). See: បែកគំនិត "
ទ្រនំ,"[trɔnum] <br>1). n bird's nest
ជើងអាកាស,"[cəəŋ ʔaakaah] [[ជើង]] [[អាកាស]] <br>1). by air "
ទល់មុខគ្នា,"[tʊəl muk knie] [[ទល់មុខ]] [[គ្នា]] <br>1). facing each other
ប្រឡងធ្លាក់,"[------ tleak] [[ប្រឡង]] [[ធ្លាក់]] <br>1). to fail (an exam) <br>#..). to fail an exam "
ដាំដំណាំ,"[dam dɑmnam] [[ដាំ]] [[ដំណាំ]] <br>1). to plant crops "
ក្លាក់,"[klak] <br>1). n cylindrical box or tube of woven bamboo with a stopper or cap used as a container for cigarettes
មានគ្រោះថ្នាក់,"[mien krʊək tnak] [[មាន]] [[គ្រោះថ្នាក់]] <br>1). to be dangerous;<br> to have an accident "
បំណាន់,"[bɑmnan] <br>1). n prognosis "
លំអិត,"[lumʔət] <br>1a). v to pulverize
កំណាន់ចិត្ត,"[kɑmnan cət] [[កំណាន់]] [[ចិត្ត]] <br>1). something or someone that one loves;<br> lover
ដៃឆៅ,"[day cʰav] [[ដៃ]] [[ឆៅ]] <br>1). to be reckless
អន្លង,"[ʔɑnlɔɔŋ] <br>1). adj to be shining / highly polished / glistening "
ព្រះសិវិកា,"[preah seʔviʔkaa] [[ព្រះ]] [[សិវិកា]] <br>1). palanquin "
ជំនល់,"[cumnʊəl] <br>1). n fight / combat (between animals) "
ឆាតកទុក្ខ,"[cʰaataʔkaʔtuk] <br>1a). adj to be provoked by hunger
កងច្រវាក់,"[kɑɑŋ crɑvak] [[កង]] [[ច្រវាក់]] <br>1). link (of a chain) "
ឆ្វាយ,"[cvaay] <br>1). v to wind into a skein or hank
របៀននិមិត្ត,"[rɔbiən niʔmit] [[របៀន]] [[និមិត្ត]] <br>1). astrology "
សន្លង់ស្នែងក្របី,"[sɑnlɑŋ snaeŋ krɑbəy] [[សន្លង់]] [[ស្នែងក្របី]] <br>1). section of bamboo used to slip over the ends of a water buffalo's horns "
ព្រះស្រីសុគន្ធបទ,"[preah srǝy soʔkɔǝn~soʔkɔǝntʰɔɔ bɑt] [[ព្រះ]] [[ស្រីសុគន្ធបទ]] <br>1). Sri Sukonthor Bat (king of Cambodia
មុខទឹក,"[muk tɨk] [[មុខ]] [[ទឹក]] <br>1). flow of water;<br> stream
កំចាត់បង់,"[kɑmcat bɑŋ] [[កំចាត់]] [[បង់]] <br>1). to throw out;<br> to pour out all at once <br>2). to break off (with someone) "
ជួយជ្រោមជ្រែង,"[cuə yɔɔ croom crɛɛŋ] [[ជួយ]] [[ជ្រោមជ្រែង]] <br>1). to help
ព្រះបីតិ,"[preah pəyteʔ] [[ព្រះ]] [[បីតិ]] <br>1). ecstasy
ផ្កុល,"<br>1). See: ព្កុល "
ដំណាល់,"[dɑmnal] <br>1). n boxing
ស្ទាបអាចម៍ត្រជាក់,"[stiep ʔac trɑceak] [[ស្ទាប]] [[អាចម៍]] [[ត្រជាក់]] <br>1). to be disappointed
ស្រែច្រមុះជ្រូក,"[srae crɑmoh cruuk] [[ស្រែ]] [[ច្រមុះ]] [[ជ្រូក]] <br>1). triangular rice field "
ស្គមកំប្រេវ,"[skɔɔm kɑmpreɛv] [[ស្គម]] [[កំប្រេវ]] <br>1). to be emaciated "
បង់ទ្រព្យ,"[bɑŋ troap] [[បង់]] [[ទ្រព្យ]] <br>1). to ruin oneself;<br> to become bankrupt
ផ្លូវបញ្ច្រាស,"[pləv bɑɲcraah] [[ផ្លូវ]] [[បញ្ច្រាស]] <br>1). the wrong way (against traffic) "
ហោជាង,"[hao cieŋ] [[ហោ]] [[ជាង]] <br>1). gable (of a house roof) "
អ្នកឃុបឃិត,"[neak kʰup kʰɨt] [[អ្នក]] [[ឃុបឃិត]] <br>1). accomplice "
ជើងអាធារ,"[cəəŋ ʔaatʰie] [[ជើង]] [[អាធារ]] <br>1). reading stand
សកាយនិរុត្តិ,"[saʔkaayaʔniʔrut
ចំណាស់,"[cɑmnah] <br>1a). n age
ចាំមុខ,"[cam muk] [[ចាំ]] [[មុខ]] <br>1). to remember a face
ស្ងាត់មនុស្ស,"[sŋat mɔnuh~meaʔnuh~mɔnɨh] [[ស្ងាត់]] [[មនុស្ស]] <br>1). to be deserted "
អារម្ភចេតនា,"[ʔaarampʰeaʔ~ʔaarɑm ceɛtaʔnaa] [[អារម្ភ]] [[ចេតនា]] <br>1). original idea "
យកនយោបាយ,"[yɔɔ kɑɑ nɔyoobaay] [[យក]] [[នយោបាយ]] <br>1). to gain power
បោះទង,"[bɑh tɔɔŋ] [[បោះ]] [[ទង]] <br>1). to grow out;<br> to spread out (of a creeping plant);<br> to send out tendrils (esp. of plants such as a cucumber or squash) "
ចមពង្ស,"[cɑɑm pʊəŋ] [[ចម]] [[ពង្ស]] <br>1). epithet of the king "
អ្នកបួសដំបូង,"[neak buəh dɑmbooŋ] [[អ្នកបួស]] [[ដំបូង]] <br>1). novice "
ហទយបរិធាន,"[haʔtey~haʔteaʔyeaʔ- paʔreʔtʰien] [[ហទយ]] [[បរិធាន]] <br>1). cardiograph "
ហិរញ្ញបត្រ,"[heʔraɲ bɑɑ trɑɑ] [[ហិរញ្ញ]] [[ប]] [[ត្រ]] <br>1). paper money
ឥតពីរ,"[ʔet~ʔǝt pii~pɨl] [[ឥត]] [[ពីរ]] <br>1). unique
វិចារវិទ្យា,"[viʔcaaraʔvityie] <br>1). n dialectics "
អាធ័ម,"[ʔaatʰoam] <br>1). adj to be full
ក្ង,"[kŋɑɑ] <br>1). n white ibis with black beak and legs <br>2a). adj to be curved and upturned (as the horns of a water buffalo). See: ងក្ង <br>2b). to be annoyed
លុទ្ទកម្ម,"[lutteaʔ kam~kammeaʔ or kammaʔ] [[លុទ្ទៈ]] [[កម្ម]] <br>1). professional hunting "
រេច,"[rɨc] <br>1). adj to be worn (out)
ស្នាមគ្រជឹប,"[snaam krɔcɨp] [[ស្នាម]] [[គ្រជឹប]] <br>1). puckered scar of a wound "
បោកខោអាវ,"[baok kʰao ʔaav] [[បោក]] [[ខោអាវ]] <br>1). to do the laundry
វិហង្គសត្វ,"[viʔhɑŋkeaʔsat] <br>1). n bird "
ថ្មីស្រឡាង,"[tməy srɑlaaŋ] [[ថ្មី]] [[ស្រឡាង]] <br>1). See: ថ្មីសន្លាង "
ទឹកចាល់,"[tɨk cal] [[ទឹក]] [[ចាល់]] <br>1). whirlpool
បញ្ចៀស,"[bɑɲcieh] <br>1a). v to lead astray
ប៉ាន់ចៃដន្យ,"[pan caydɑn] [[ប៉ាន់]] [[ចៃដន្យ]] <br>1). random sample "
ទល់បន,"[tʊəl bɑɑn] [[ទល់]] [[បន]] <br>1). to be very full
ជឿស្ដាប់,"[cɨə sdap] [[ជឿ]] [[ស្ដាប់]] <br>1). to believe in "
ឆ្ងាយលន្លង់លន្លោច,"[cŋaay lʊənlʊəŋ lʊənlooc] [[ឆ្ងាយ]] [[លន្លង់លន្លោច]] <br>1). to be very far away
រេញ,"[rɨɲ] <br>1). adj to be very short
មួយព្រះឱស័,"[muə yɔɔ preah ʔaoh ] [[មួយ]] [[ព្រះឱស័]] <br>1). one royal mouthful "
បណ្ឌិតភាសិត,"[bɑndɨt pʰiesət] [[បណ្ឌិត]] [[ភាសិត]] <br>1). maxim
កល្យាណាធ្យាស្រ័យ,"[kɑlyaanaatyiesray] <br>1). v to have a good disposition "
ក្ដ,"[kdɑɑ] <br>1). n penis See: កេរ្តិ៍ខ្មាសប្រុស
កងអាកាសចរណ៍,"[kɑɑŋ ʔaakaah ------ ] [[កង]] [[អាកាសចរណ៍]] <br>1). air force "
ភព្វ,"[pʰoap
កូនស្រី,"[koon srǝy] [[កូន]] [[ស្រី]] <br>1). daughter "
ចុងដួច,"[coŋ duəc] [[ចុង]] [[ដួច]] <br>1). last of all
វង្សក្រឹត,"[vɔǝŋ~vaŋsaʔ ------ ] [[វង្ស]] [[ក្រឹត]] <br>1). See: វង្សករ "
ញញាយ,"[ɲɔɲiey] <br>1). adv continuously
វត្តអារាម,"[voat ʔaaraam] [[វត្ត]] [[អារាម]] <br>1). Buddhist monastery / temple "
ស្លាបកែវ,"[slaap kaev] [[ស្លាប]] [[កែវ]] <br>1). pinion feather of a bird's wing "
បាទយុគល,"[baateaʔyuʔkʊəl] <br>1). n both feet "
គណៈរដ្ឋ,"[keaʔnaʔ roat~roattʰaʔ] [[គណៈ]] [[រដ្ឋ]] <br>1). state presidium "
មួយម្ដង,"[muə yɔɔ mdɑɑŋ] [[មួយ]] [[ម្ដង]] <br>1). one at a time "
ទំនើង,"[tumnəəŋ] <br>1). n desire
លតាមណី,"[leaʔdaa meaʔnii~mɔnii] [[លតា]] [[មណី]] <br>1). coral
ឆកាមាវចរសួគ៌,"[cʰɑɑ kaa mie vɔɔ cɑɑ suǝ] [[ឆ]] [[កាមាវចរ]] [[សួគ៌]] <br>1). the six celestial worlds in Buddhist mythology: ចាតុម្មហារាជិកា
អៀរមមៀរ,"[ʔie - mɔmie] <br>1a). adj to be confused
សាសនកាល,"[saasaʔnaʔ kaal] [[សាសន]] [[កាល]] <br>1). period / time after the death of the founder of a religion "
ទប់មាត់មិនជាប់,"[tup moat mɨn coap] [[ទប់មាត់]] [[មិន]] [[ជាប់]] <br>1). not to control oneself
ច្រវាប,"[crɑvaap] <br>1). adj to be huge
ក្រ,"[krɑɑ] <br>1). adj to be poor
អត់ឱន,"[ʔɑt ʔaon] [[អត់]] [[ឱន]] <br>1). to forgive
ប្រសង្ករណ៍,"[prɑsɑŋkɑɑ] <br>1). n hybridization "
រេល,"[reil] <br>1a). v to bend (in the wind);<br> to slant
VERB + គេ + VERB + ឯង,"<br>1). to VERB people មើលគេមើលឯង to watch people "
ផ្លែក្ដឹបៗ,"<br>1). budding fruit "
កកែងកកោង,"[kɑkaeŋ - kɑkaoŋ] <br>1). adj to be rude
សំលោហៈ,"[sɑmlouhaʔ] <br>1). n alloy "
ស្រើបស្រាល,"[sraǝp sraal] [[ស្រើប]] [[ស្រាល]] <br>1). to get excited
ជីនិម្មិត,"[cii nimmɨt] [[ជី]] [[និម្មិត]] <br>1). artificial fertilizer "
ម៉េចក៏មិន,"[məc kɑɑ mɨn] [[ម៉េចក៏]] [[មិន]] <br>1). why ... not "
ពណ៌ទឹកមាស,"[poa tɨk mieh] [[ពណ៌]] [[ទឹកមាស]] <br>1). gold color "
សមជ្ជកីឡា,"[saʔmacceaʔ kəylaa] [[សមជ្ជ]] [[កីឡា]] <br>1). entertainment (performance) "
ឰរាវ័ណ,"<br>1). See: ឯរាវ័ណ "
សហគ្រាស,"[saʔhaʔkrieh] <br>1). n enterprise;<br> business
ស្លក្រមួន,"[slaa krɑmuən] [[ស្ល]] [[ក្រមួន]] <br>1). to purify wax by heating "
មុខបាឋ,"[muk paatʰaʔ] [[មុខ]] [[បាឋ]] <br>1). learning by heart / by listening to a lecture "
ឰរាវ័ត,"[ʔayraavoat] <br>1). n Airāvăta (name of a Naga in Cambodian legends) <br>2). n Airāvăta (Indra's three-headed elephant) See: ឯរាវ័ណ
ជង់,"[cʊəŋ] <br>1). v to pierce through
ទំនើប,"[tumnəəp] <br>1a). adj to be modern
អន្លើ,"[ʔɑnləə] <br>1). n part
ឲ្យជើង,"[ʔaoy cəəŋ ] [[ឲ្យ]] [[ជើង]] <br>1). to insult someone by allowing the foot to point at him / her;<br> to kick someone "
ហាត់ហោង,"[hat haoŋ] [[ហាត់]] [[ហោង]] <br>1). See: ហ័តហោង "
មត្តិកាភាជន៍,"[matteʔkaa ------] [[មត្តិកា]] [[ភាជន៍]] <br>1). earthenware "
តំរូវឲ្យ,"[tɑmrəv ʔaoy ] [[តំរូវ]] [[ឲ្យ]] <br>1). to cause "
សារសូន្យ,"[saa~saaraʔ soon] [[សារ]] [[សូន្យ]] <br>1). worthlessness
ដាវរឿង,"[daav rɨəŋ] [[ដាវ]] [[រឿង]] <br>1). kind of fragrant flower;<br> Ṭāv Rẏaṅ (the name of a satra) "
រហេងរហាង,"[rɔheeŋ - rɔhaaŋ] <br>1). adj to be out in the sun
ល្ហែ,"<br>1). See: រហែ "
ឧបាស្រ័យ,"[ʔuʔpaasray] <br>1). n recourse
គ្រោះកំណើត,"[krʊək kɑmnaət] [[គ្រោះ]] [[កំណើត]] <br>1). luck
ជូតការក៍,"[cuutaʔkaa] <br>1). n gambler See: ជូតការិកា
បបែលសេះ,"[bɑbael seh] [[បបែល]] [[សេះ]] <br>1). kind of ray with a large head "
