(Mekong) giant catfish 	 ປາບຶກ
Land-survey	(n) 	 ການວັດແທກເນື້ອທີ່ດິນ
Lao Women’s Union 	 ສະຫະພັນແມ່ຍິງລາວ
Large Animal Breeding Unit 	 ກອງລ້ຽງສັດໃຫຍ່
Leptochloa chinensis 	 ຫຍ້າດອກຂາວ
Livestock Experiment Station 	 ສະຖານີບໍາລຸງພັນສັດ
Macronutrients	(n) 	 ອາຫານຫຼັກ
Management of irrigation Agriculture 	 ການຈັດການຊົນລະປະທານກະສິກໍາ
March	(n) 	 ເດືອນມີນາ
May	(n) 	 ເດືອນພຶດສະພາ
Mean Annual Rainfall 	 ປະລິນມານນໍ້າຝົນສະເລັ່ຍປະຈໍາປີ
Minister 	 ລັດຖະມົນຕີ
Ministry of Agriculture and Forestry 	 ກະຊວງກະສິກໍາ ແລະ ປ່າໄມ້
Ministry of Commerce and Tourism 	 ກະຊວງການຄ້າ ແລະ ການທ່ອງທ່ຽວ
Ministry of Communication, 	 ກະຊວງຄົມມະນາຄົມ, ໄປສະນີ, ແລະ ກໍ່ສ້າງ
Ministry of Education 	 ກະຊວງສຶກສາທິການ
Ministry of Foreign Affairs 	 ກະຊວງການຕ່າງປະເທດ
Ministry of Industry and Handicrafts 	 ກະຊວງອຸດສາຫະກໍາ ແລະ ຫັດຖະກໍາ
Ministry of Information and Culture 	 ກະຊວງຖະແຫຼງຂ່າວ ແລະ ວັດທະນະທໍາ
Ministry of Justice 	 ກະຊວງຍຸດຕິທໍາ
Ministry of Labour & Social Welfare 	 ກະຊວງແຮງງານ ແລະ ສະຫວັດດີການສັງຄົມ
Ministry of National Defence 	 ກະຊວງປ້ອງກັນປະເທດ
Ministry of Public Health 	 ກະຊວງສາທາລະນະສຸກ
Ministry of Publice Security 	 ກະຊວງປ້ອງຄວາມສະງົບ
Monday 	 ວັນຈັນ
Monochoria vaginalis 	 ຜັກອີ່ຮີນ
Napier grass 	 ຫຍ້າ ເນເປຍ, ຫຍ້າຂົນ
National Biodiversity Conservation 	 ປ່າສະຫງວນແຫ່ງຊາດ
Newcastle disease 	 ໂລກນິວຄາສເຊິນ	(ຂອງໄກ່, ນົກ)
Noun 	 ຄໍານາມ 
November	(n) 	 ເດືອນພະຈິກ
October	(n) 	 ເດືອນຕຸລາ
Office of the Prime Minister 	 ສໍານັກງານນາຍົກ
Operation Division 	 ກອງປະຕິບັດການ
Orchard Crop Experimental Station 	 ສະຖານີທົດລອງພືດສວນ
Oryza sativa 	 ຫຍ້າເຂົ້າແດງ
Plant	 ພືດ
Plant Protection Division 	 ກອງປ້ອງກັນ ແລະ ກໍາຈັດສັດຕູພືດ
Plant Protection Unit 	 ໜ່ວຍປ້ອງກັນ ແລະ ກໍາຈັດສັດຕູພືດ
Prime Minister	(n) 	 ນາຍຍົກລັດຖະມົນຕີ
Provincial Agriulture and 	 ພະແນກກະສິກໍາ ແລະ ປ່າໄມ້ແຂວງ
Provincial Forestry Office 	 ຫ້ອງການປ່າໄມ້ແຂວງ
Provincial court house 	 ສານແຂວງ
Provincial headquarters 	 ຫ້ອງການປົກຄອງແຂວງ
Research and Evaluation Division 	 ກອງຄົ້ນຄວ້າ ແລະ ປະເມີນຜົນ
Rice plant	 ຕົ້ນເຂົ້າ
Saturday	(n) 	 ວັນເສົາ
September	(n) 	 ເດືອນກັນຍາ
Siratro 	 ຖົ່ວ ຊີລາໂຕ
Sphenoclea zeylanica 	 ຜັກປອດ
Sunday	(n) 	 ວັນອາທິດ
Thursday	(n) 	 ວັນພະຫັດ
Tools	 ເຄື່ອງມື
Top-down planning management	(n) 	 ການຄຸ້ມຄອງວາງແຜນ “ແຕ່ເທິງລົງລຸ່ມ”
Training Division 	 ກອງຝຶກອົບຮົມ
Tuesday	(n) 	 ວັນອັງຄານ
UXO	(Unexploded Ordnance) 	 ລະເບີດຝັງດິນທີ່ຍັງບໍ່ແຕກ
Under Secretary of Ministry 	 ຫົວໜ້າຫ້ອງການກະຊວງ
Verb 	 ກິລິຍາ 
Weather Forecast Division 	 ພະແນກພະຍາກອນອາກາດ
Wednesday	(n) 	 ວັນພຸດ
abalone	(n) 	 ຫອຍໂຂ່ງ, ຫອຍນາ
abattoir	(n) 	 ໂຮງຂ້າສັດ
abbot	(n) 	 ເຈົ້າອາວາດວັດ
abdomen	(n) 	 ຊ່ວງທ້ອງ
ability	(n) 	 ຄວາມສາມາດ
abort	(v) 	 ແທ້ງ (ແທ້ງລູກ)
abscess	(n) 	 ໄຄ່ບວມ
abscond	(v.) 	 ໜີຢ່າງລັບໆ, ໜີ
absorption	(n) 	 ການດູດຊຶມ
acacia auriculoformis 	 ກະຖິນນະລົງ 
acacia insuavis 	 ຜັກຂະ
accelerate	(v) 	 ເລັ່ງ, ເພີ້ມຄວາມໄວຂື້ນ, ເລັ່ງລັດ
accelerated erosion	(n) 	 ການເຊາະເຈື່ອນທີ່ໄວ
accentuate	(v) 	 ຢໍ້າ, ເໜັ້ນໜັກ
accident	(n) 	 ອຸປະຕິເຫດ
accounts 	 ບັນຊີ
accumulate	(v) 	 ສະສົມ
acid	(n, adj) 	 ທາດກົດ, ອາຊິດ
acid rain 	 ຝົນກົດ, ຝົນເປັນກົດ
acid soil 	 ດິນເປັນກົດ, ດິນກົດ
acidic soil	(laymen’s term) 	 ດິນສົ້ມ
acidic soil	(technical term) 	 ດິນເປັນກົດ
acute	(adj) 	 ຮຸນແຮງ, ສາຫັດ, ແຫຼມ (ສຽງ)
adapt	(v) 	 ດັດແປງ, ດັດປັບ
adaptable	(adj) 	 ດັດແປງໄດ້, ປັບໄດ້
adjust	(v) 	 ດັດແປງ, ຈັດເຂົ້າລະບຽບ, ປັບປຸງ
administration	(n) 	 ການບໍລິຫານ
advantage	(n, v) 	 ການໄດ້ປຽບ, ເປັນປະໂຫຍດ, ໃຫ້ຜນ
advice 	 ຄໍາແນະນໍາ
advice	(n) 	 ຄໍາແນະນໍາ
advise	(v) 	 ແນະນໍາ
advise	(v.) 	 ແນະນໍາ
adviser	(n) 	 ຜູ້ແນະນໍາ
adze 	 ຈົກ	(ຈົກໃຊ້ຂຸດດິນ)
aerial	(photograph) (n) 	 ທາງອາກາດ (ພາບຖ່າຍທາງອາກາດ)
aerobic	(n) 	 ສັດ ຫຼື ພືດທີດ
aerobic rice 	 ເຂົ້າທົນແລ້ງ
aeroplane	(n) 	 ເຮືອບິນ, ຍົນ
affect	(v) 	 ຜົນສະທ້ອນ
afford	(v) 	 ມີໃຫ້, ສາມາດໃຫ້ໄດ້
after	(adj) 	 ຫຼັງຈາກນັ້ນ
age	(n) 	 ອາຍຸ
age-old	(adj) 	 ເກົ່າແກ່
agency	(n) 	 ຕົວແທນຈໍາໜ່າຍ
agenda	(n) 	 ວາລະກອງປະຊຸມ
agent	(n) 	 ຕົວແທນ
agrarian	(adj) 	 ກ່ຽວກັບໄຮ່ນາ ແລະ ທີ່ດິນ
agrarian reform 	 ການປະຕິຮູບທີ່ດິນ
agrarian reform	(n) 	 ການປະຕິຮູບທີ່ດິນ
agri-siviculture 	 ການກະສິກໍາ ແລະ ປ່າໄມ້
agricultural extension 	 ການສົ່ງເສີມກະສິກໍາ
agricultural extension agent 	 ນັກວິຊາການສົ່ງເສີມກະສິກໍາ
agricultural officer 	 ພະນັກງານກະສິກໍາ
agricultural policy	(n) 	 ນະໂຍບາຍດ້ານກະສິກໍາ
agricultural subsidy 	 ເງິນອຸດໜູນໃຫ້ແກ່ກະສິກໍາ
agriculturalist 	 ຊ່ຽວຊານດ້ານກະສິກໍາ
agriculture	(n) 	 ການກະສິກໍາ ແລະ ການປູກຝັງ
agriltrist	(n) 	 ນັກກະສິກໍາ
agro-ecosystem	(n) 	 ລະບົບນິເວດກະສິກໍາ
agro-forestry	(n) 	 ການກະສິກໍາ-ປ່າໄມ້
agroforestry model 	 ຕົວແບບຂອງລະບົບກະສິກໍາ ແລະ ປ່າໄມ້
agronomist	(n) 	 ນັກກະເສດ
air	(n,v) 	 ອາກາດ, ໃຫ້ອາກາດ
air pump	(n) 	 ເຄື່ອງເປົ່າລົມ, ປໍ້າລົມ
air-layered tree 	 ການຕອນກິ່ງ
air-layering 	 ການຕິດຕາ
algae	(n) 	 ສີໄຄນໍ້າ (ພືດທະເລຊະນິດໜຶ່ງ)
alive	(adj) 	 ມິຊີວິດ
alkali	(n) 	 ດ່າງ, ເປັນດ່າງ
alkaline soil 	 ດິນກະດ້າງ
alkaline soil 	 ດິນດ່າງ
alkalinity 	 ດິນດັ່ງ
allergy	(n) 	 ແພ້ (ແພ້ຢາ, ອາກາດ ຫຼື ອາຫານ)
alleviate	(v) 	 ຫຼຸດຜ່ອນ
alley cropping/farming 	 ໄຮ່ແຖວ
allocate	(v) 	 ແບ່ງປັນ
allot	(v) 	 ແຈກ, ແບ່ງປັນ
allotment	(n) 	 ການແຈກຈ່າຍ, ການແບ່ງປັນ (ທີ່ດິນ)
alluvial soil	(n) 	 ດິນຜຸຜຸ່ຍ
alluvium	(n) 	 ຂີ້ດິນ ຫຼື ດິນຊາຍທີ່ຖືກທັບຖົມຫຼັງຈາກນໍ້າຖ້ວມ
alter	(v) 	 ດັດແປງ
alternately	(adv) 	 ສັບປ່ຽນ, ສະລັບກັນ 
alternative	(n) 	 ທາງເລືອກ 
altitude	(n) 	 ໄລຍະສູງ, ຄວາມສູງ
aluminum toxicity 	 ສານພິດຂອງທາດອະລູມີນຽມ
ameliorate	(v) 	 ຊ່ວຍເຫຼືອ, ສົງເຄາະ
amoeba, ameba 	 ເຊື້ອອາມິບາ
among	(pre) 	 ລະຫວ່າງ, ໃນໝູ່
anaerobic	(n) 	 ເຊືອ
analize	(v) 	 ວິເຄາະ
analysis	(n) 	 ການວິເຄາະ
angry	(adj) 	 ໃຈຮ້າຍ, ໂມໂຫ
animal	(n) 	 ສັດ
animal husbandry 	 ສັດຕະວະແພດ
animal husbandry person	(n) 	 ສັດຕະວະແພດ
animist	(n) 	 ຜູ້ນັບຖືຜີ
ankle	(n) 	 ຂໍ້ຕີນ
annual crop	(n) 	 ພືດໝຸນວຽນ
annual plant	(n) 	 ໄມ້ລົ້ມລຸກ
annual rings 	 ວົງປີ	(ໃຊ້ໃນການນັບອາຍຸຂອງຕົ້ນໄມ້)
ant 	 ມົດ, ໂຕມົດ
anthrancnose 	 ໂລກແອນແທຣກນົດ
anthrax 	 ໂລກອັນຕະລາຍຊະນິດນືງ່ ຂອງງົວ ແລະ ແກະ
anybody	(n) 	 ໃຜກໍ່ໄດ້
aphid 	 ເພ້ຍອ່ອນ, ເພ້ຍ, ໂຕເພ້ຍ
aphid	(n) 	 ເພ້ຍ, ໂຕເພ້ຍ
apiary 	 ບ່ອນລ້ຽງເຜີ້ງ
apiculture 	 ການລ້ຽງເຜີ້ງ 
apiculture	(n) 	 ການລ້ຽງເຜີ້ງ
apis dorsata, apis cerana, apis florea 	 ເຜີ້ງ, ເຜີ້ງໂກນ, ມິ້ມ
appendix	(n) 	 ໄສ້ຕິ່ງ, ໃສ່ເຫຼືອ
apple 	 ໝາກໂປ່ມ
application	(n) 	 ໃບຄໍາຮ້ອງ, ໃບສະເໜີ, ການໃສ່ຝຸ່ນ
approach grafting 	 ການສຽບກິ່ງ
approve	(v) 	 ອະນຸມັດ, ຮັບຮອງ
apricot 	 ໝາກຄາຍເຂົ້າ
aquatic sensitive plant 	 ຜັກກະເສດ
area	(n) 	 ພື້ນທີ່, ຂອບເຂດ
arm	(n) 	 ແຂນ
armywarm 	 ບົ້ງກັດຄໍຮວງ
aroma	(n) 	 ກິ່ນຫອມ, ຫອມ
aromatic rice 	 ເຂົ້າຫອມ
arrangement	(n) 	 ການຈັດໃຫ້ຮຽບຮ້ອຍ
artificial insemination	(n) 	 ການປະສົມພັນທຽມ
artificially inseminate	(v.) 	 ປະສົມພັນທຽມ
ash	(n) 	 ຂີ້ເຖົ່າ, ເຖົ່າຖ່ານ
asparagus 	 ໜໍ່ໄມ້ຝຣ່ັງ
assemble	(v) 	 ປະກອບເຂົ້າກັນ, ຮ່ວມກັນ
assistant	(n) 	 ຜູ້ຊ່ວຍ
attack	(v) 	 ທໍາລາຍ, ໂຈມຕີ
attention	(n) 	 ຄວາມຕັ້ງໃຈ, ຄວາມໃສ່ໃຈ
audit	(n. v.) 	 ການກວດສອບບັນຊີ, ກວດສອບບັນຊີ
automatic	(adj) 	 ອັດຕະໂນມັດ
average	(n) 	 ຄ່າສະເລັ່ຍ, ສະເລັ່ຍ
avocado 	 ໝາກອາໂວກາໂດ
avoid	(v) 	 ຫຼີກລ້ຽງ, ຍົກເວັ້ນ
axe	(n) 	 ຂວານ
axis	(n) 	 ແກນ
azadirachta indica	(neem) 	 ກົກສະເດົາ
back 	 ຫຼັງ
back	(n) 	 ຫຼັງ
back-up	(n) 	 ສະໜັບສະໜູນ
background	(n) 	 ເບື້ອງຫຼັງ, ພື້ນຖານ
bacon	(n) 	 ຊີ້ນໝູເຄັມ
bacteria 	 ເຊື້ອແບັກທີເຣຍ
bacterial leaf bright 	 ພະຍາດຂອບໃບແຫ້ງ 
bad	(adj) 	 ຊົ່ວ
bael fruit 	 ໝາກຕູມ
bait	(v., n.) 	 ໃສ່ເບັດ, ຊິດເບັດ, ເຫຍື່ອ
bakanae and foot root disease 	 ພະຍາດຖອດຝັກ ຫຼື ພະຫຍາດເຫງົ້າເນົ່າ
balance-shet 	 ໃບດຸ່ນດ່ຽງ
balanced	(adj) 	 ສົມດູນ
bale	(n) 	 ຫໍ່, ມ້ວນ, ໂຄ້ງ
balling gun	(n) 	 ເຄື່ອງໃຫ້ຢາສັດ
bamboo	(n) 	 ໄມ້ໄຜ່
bamboo basket 	 ກະຕ່າ
bamboo shoot 	 ໜໍ່ໄມ້
bamboo shots	(n) 	 ໝໍ່ໄມ້
banana 	 ໝາກກ້ວຍ
banana	(n) 	 ກ້ວຍ
banana flower	(n) 	 ໝາກປີ
banana trunk	(n) 	 ຕົ້ນກ້ວຍ
bank 	 ທະນາຄານ
bank	(of river) 	 ແຄມ (ແມ່ນໍ້າ)
bank balance 	 ຈໍານວນບັນຊີທະນາຄານ
bank manager 	 ຜູ້ຈັດການທະນາຄານ
barb 	 ໄລເຜີ້ງ
barb 	 ໜວດປາ, ງ່ຽງປາ
barbecued chicken	(n) 	 ໄກ່ປີ້ງ
barbed wire	(n) 	 ໜາມໝາກຈັບ (ໃຊ້ລ້ອມຮົ້ວ)
bargain	(n, v) 	 ຕໍ່ລາຄາ, ຕໍ່ລອງ
bark	(n) 	 ເປືອກ
bark	(n) 	 ເປືອກ, ເປືອກໄມ້
bark of tree	(n) 	 ເປືອກໄມ້
barley 	 ເຂົ້າບາເລ
barrel	(n) 	 ຖັງ (ໃຊ້ບັນຈຸທາດແຫຼວ)
barren	(adj) 	 ເປັນໝັນ
barren	(adj) 	 ເປັນໝັນ
barrier X	(n) 	 ເຄື່ອງກີດກັ້ນ
barter	(v) 	 ແລກປ່ຽນ
baseline survey	(n) 	 ການສໍາຫຼວດຂໍ້ມູນເບື້ອງຕົ້ນ
basic	(adj) 	 ພື້ນຖານ
basin	(n) 	 ອ່າງນໍ້າ
basket	(n) 	 ກະຕ່າ
basket of rice	(n) 	 ກະບຸງໃສ່ເຂົ້າ
bat 	 ເຈຍ, ໂຕເຈຍ
bat	(n) 	 ໂຕເຈຍ
bath	(n), bathe (v) 	 ອາບນໍ້າ
bay leaves 	 ໃບໄມ້ສີນໍ້າຕານປົນແດງ
beak	(n) 	 ສຽງດັງ, ສົບນົກ
beam	(house) (n) 	 ຂ້າວ (ເຮືອນ)
beam curd	(n) 	 ເຕົ້າຮູ້
bean noodles	(n) 	 ວຸ້ນເສັ້ນ
beans	(n) 	 ພືດປະເພດຖົ່ວ
bear	(v) beat 	 ທຸບຕີ
beater	(loom) (n) 	 ຟືມ (ຟືມຕໍ່າຫູກ)
bed	(plants) (n) 	 ໜານຜັກ
bedbug 	 ເຮືອດ
bee	(see special section) 	 ເຜີ້ງ (ເບີ່ງຢູ່ພາກເຜີ້ງ) 
bee	(see special section) (n) 	 ເຜີ້ງ (ໃຫ້ເບີ່ງໃນພາກພິເສດ)
beef cattle	(n) 	 ງົວພັນຊີ້ນ
beekeeper 	 ຄົນລ້ຽງເຜີ້ງ
beeswax 	 ຂີ້ເຜີ້ງ
beetle 	 ແມງເຕົ່າຄໍາ
beetle	(n) 	 ແມງປີກແຂງ
beets 	 ຫົວບິດ	(ຊື່ຜັກຊະນິດໜື່ງ)
beff cattle 	 ງົວພັນຊີ້ນ
behaviour	(n) 	 ການປະພຶດ
behind	(pre, adv) 	 ທາງຫຼັງ, ຂ້າງຫຼັງ
bell pepper 	 ໝາກເຜັດໃຫຍ່
belly	(n) 	 ທ້ອງ
belt	(n) 	 ສາຍແອວ
bench terreace 	 ຂັ້ນໄດ
bend	(v), bent (adj) 	 ກົ່ງ, ງໍ, ຂົດ
benficial insects	(n) 	 ແມງໄມ້ເປັນປະໂຫຍດ
berry	(n) 	 ໝາກເບີຣີ
betel nut 	 ໝາກ
betel nut	(n) 	 ໝາກຄ້ຽວ, ແກ່ໝາກຄ້ຽວ
betel nut palm 	 ໝາກຄ້ຽວ
between	(per, adv) 	 ລະຫວ່າງ
bevond	(pre, adv) 	 ທັດໄປ, ພຸ້ນ, ເກີນ
bi-annual	(adj) 	 ປີລະສອງຄັ້ງ
bicycle	(adj) 	 ລົດຖີບ
biennial	(adj) 	 ສອງປີຕໍ່ຄັ້ງ
biennial plant	(n) 	 ພືດລົ້ມລຸກ
biennial plant	(n) 	 ພືດສອງລະດູ
bighead carp 	 ປາຫົວໃຫຍ່, ປາເກັດແລບ
bilimbi 	 ໝາກເຟືອງ
bill 	 ໃບເກັບເງີນ, ໃບບິນ
binoculars	(n) 	 ກ້ອງສ່ອງທາງໄກ
bio-bas	(n) 	 ແກັດຊີວະພາບ
biodiversity hotspots	(n) 	 ຈຸດລວມຂອງລະບົບຊີວະນາໆພັນ
biographical system 	 ລະບົບຊີວະກາຍະພາບ
biological control	(n) 	 ການຄຸມທາງດ້ານຊີວະວິທະຍາ
biological diversity	(n) 	 ຄວາມຫຼາກຫຼາຍຂອງຊີວະວິທະຍາ
bioom	(v) 	 ບານ (ດອກໄມ້)
bird	(n) 	 ນົກ
bird flu	(n) 	 ໄຂ້ຫວັດນົກ
bird pepper	(n) 	 ໝາກເຜັດຂີ້ໜູ
birds 	 ນົກ
birth	(n) 	 ການເກີດ
bite	(v) 	 ກັດ
bitter	(adj) 	 ຂົມ
bitter gourd 	 ໝາກຮະ, ໝາກໄຊ່
bitter gourd	(n) 	 ໝາກຮະ, ໝາກຂົນ
black bugs 	 ແມງແຄງດໍາ
black glutinous rice 	 ເຂົ້າກໍ່າ
black pepper 	 ໝາກພິກໄທ
black wax from black bees 	 ຂີ້ສູດ
blacksmith	(n) 	 ຊ່າງຕີເຫຼັກ
blade	(n) 	 ໃບມີດ, ໃບຫຍ້າ
blanket	(n) 	 ຜ້າຫົ່ມ
blast 	 ພະຍາດໃບໄໝ້
blend	(v) 	 ປະສົມ
blind	(adj) 	 ຕາບອດ
blister	(v) 	 ເປັນແຜໜອງ, ໂພງ, ຕຸ່ມ
bloating 	 ໂລກບວມໃນສັດ
block	(v) 	 ກັ້ນ, ກີດຂວາງ, ບັງ
blood	(n) 	 ເລືອດ
bloodline 	 ສາຍເລືອດ, ເສັ້ນເລືອດ, ສາຍພັນ
bloom	(v.) 	 ບານ (ດອກໄມ້)
blossom	(n) 	 ດອກໄມ້
blunt 	 ປູ້, ບໍ່ເຂົ້າ
boar	(n) 	 ພໍ່ພັນໝູ, ໝູໂຕຜູ້
board	(n) 	 ກະດານ
boat	(n) 	 ເຮືອ
bod out	(v) 	 ບົງ, ປູກ 
body	(n) 	 ຮ່າງກາຍ, ຕົວ
bog	(v) 	 ຕິດຕາມ, ຕິດຂັດ
boil	(v) 	 ຕົ້ມ
boiled rice	(n) 	 ເຂົ້າຈ້າວ
bolt 	 ໄລກຽວ	(ໃຊ້ກັບນອດ)
bombie	(n) 	 ລະເບີດຝັງດິນ
bomd	(n) 	 ລະເບີດ, ລູກລະເບີດ
bomd splinter	(n) 	 ສະເກັດລະເບີດ
bones	(n) 	 ກະດູກ
boron toxicity 	 ສານພິດຂອງທາດໂບຣອນ
borrow	(v) 	 ຢືມ, ຂໍຢືມ
borrow	(v.) 	 ກູ້, ຢືມ
botany	(n) 	 ພຶກສາສາດ, ວິຊາພຶກສາສາດ
both of them 	 ທັງສອງ
bottle gourd 	 ໝາກນໍ້າ, ໝາກນໍ້າເຕົ້າ
bottleneck	(n) 	 ພື້ນທີ່ແຄບ, ທາງແຄບ
bottom	(n) 	 ກົ້ນ, ລຸ່ມສຸດ
bottom of hole 	 ກົ້ນຂຸມ, ກົ້ນຫຼຸມ
boundary	(n) 	 ເຂດແດນ
bowl	(n) 	 ຖ້ວຍ
box	(n) 	 ຫີບ, ກ່ອງ
brackish water 	 ນໍ້າຂ້ອນຂ້າງເຄັມ
brain	(n) 	 ສະໝອງ
branch 	 ກິ່ງໄມ້
branch	(n) 	 ກິ່ງ, ງ່າ
branch	(n) 	 ງ່າໄມ້, ກິ່ງໄມ້, ສາຂາ
branch	(of bank) 	 ສາຂາ, ຕົວແທນ
branding iron	(n) 	 ເຫຼັກ (ໃຊ້ໝາຍສັດລ້ຽງ)
breadfruit 	 ໝາກສາເກ
break	(v) 	 ຫຼັກ, ແຕກ
breast	(n) 	 ໜ້າເອິກ, ນົມ
breed	(laymen’s term) (v) 	 ຟັກ, ອົບ (ໄຂ່)
breed	(v) 	 ປະສົມພັນ
breed	(v.) 	 ປະສົມພັນ
breeder seed	(n) 	 ເມັດພັນບໍລິສຸດ
breeding centre	(animal) 	 ສູນຂະຫຍາຍພັນສັດ
breeding station	(animal) 	 ສະຖານີປະສົມພັນສັດ
brick	(n) 	 ດິນຈີ່
brick dust	(n) 	 ດິນຈີ່ຫັກ, ດິນຈີ່ກ້ອນ
bridge	(n) 	 ຂົວ, ສະພານ
brisket 	 ກ້າມເນື້ອເອິກ
broad	(adj) 	 ກວ້າງ
broadcast	(v.) 	 ຫວ່ານ
broccoli 	 ບະຣອກເກີລີ	(ເປັນພືດດອກຫົວສີຂຽວ)
broiler 	 ໄກ່ພັນຊີ້ນ
broiler	(n) 	 ໄກ່ພັນຊີ້ນ
broken	(to be) (adj) 	 ຫຼັກ, ແຕກ, ຂາດ
broken leg 	 ຂາຫັກ
